date,price_a,price_b
2024-12-16,2628.7,29.66
2024-12-23,2617.2,29.655
2024-12-30,2645.0,29.806
2025-01-06,2708.5,31.091
2025-01-13,2744.3,30.951
2025-01-20,2777.3,31.023
2025-01-27,2812.5,32.128
2025-02-03,2867.3,32.335
2025-02-10,2883.6001,32.801
2025-02-17,2937.6001,32.976
2025-02-24,2836.8,31.219
2025-03-03,2904.7,32.548
2025-03-10,2994.5,34.187
2025-03-17,3018.2,33.29
2025-03-24,3086.5,34.644
2025-03-31,3012.0,29.116
2025-04-07,3222.2,31.824
2025-04-14,3308.7,32.42
2025-04-21,3282.3999,32.989
2025-04-28,3231.8999,31.989
2025-05-05,3335.3999,32.676
2025-05-12,3182.0,32.158
2025-05-19,3363.6001,33.442
2025-05-26,3288.8999,32.892
2025-06-02,3322.7,36.025
2025-06-09,3431.2,36.281
2025-06-16,3368.1001,35.976
2025-06-23,3273.7,36.037
2025-06-30,3332.5,36.775
2025-07-07,3356.0,38.676
2025-07-14,3353.0,38.223
2025-07-21,3334.0,38.167
2025-07-28,3347.7,36.787
2025-08-04,3439.1001,38.417
2025-08-11,3336.0,37.894
2025-08-18,3374.3999,39.003
2025-08-25,3473.7,40.2
2025-09-01,3613.2,41.074
2025-09-08,3649.3999,42.387
2025-09-15,3671.5,42.536
2025-09-22,3775.3,46.221
2025-09-29,3880.8,47.597
2025-10-06,3975.8999,46.938
2025-10-13,4189.8999,49.864
2025-10-20,4118.3999,48.377
2025-10-27,3982.2,47.994
2025-11-03,3999.3999,48.017
2025-11-10,4087.6001,50.59
2025-11-17,4076.7,49.873
2025-11-24,4218.2998,56.446
2025-12-01,4212.8999,58.422
2025-12-08,4300.1001,61.362
2025-12-15,4361.3999,66.845
2025-12-22,4529.1001,76.486
2025-12-29,4314.3999,70.556
2026-01-05,4490.2998,78.884
2026-01-12,4588.3999,88.091
2026-01-19,4976.2002,100.925
2026-01-26,4713.8999,78.29
2026-02-02,4951.2002,76.735
2026-02-09,5022.0,77.851
2026-02-16,5059.2998,82.283
2026-02-23,5230.5,92.682
2026-03-02,5181.7998,85.505
